lable	label	text
1	反讽	Now, waiting for the #breaking story  that Pakistan's private sector offers Covid vaccine for free and so on...🙄🙄… https://t.co/sqQZTJzFGe
0	陈述	I met a vaccine recipient who’s taste had not returned 8 months after COVID; he recently ordered steak at a restaur… https://t.co/DgEdZ2DAIC
4	other	Biogenesis.. rise of the infinite gene.  #charaka #awareness #meditation #philosophy #movement #reincarnation… https://t.co/lt9qN3129e
2	邀请/建议	@POTUS @VP @WHCOVIDResponse Hire a Madison Ave ad firm to handle vax hesitancy. That’s what Polio did and built the… https://t.co/eO5IYkDYT1
1	难过	@PatDooris This is certainly a setback and I feel badly for all those who counted on receiving their vaccine this w… https://t.co/eEOELn3plz
0	析因	@RTUKnews @FreudmannSteven 1) People don't accept vaccine 'passports' it's a violation of their human rights to imp… https://t.co/xTc2QK8C3p
0	陈述	Government remains committed to saving lives and protecting livelihoods. All citizens are reminded that adhering to… https://t.co/GWUjun7MTI
0	批评	@abc7newsbayarea @GavinNewsom @GavinNewsom you are by far the worst and most corrupt governor the State of Californ… https://t.co/8QSB4VB6Sy
2	请求	@NailahEjfian 👇🏼 @anaa111_anaa read this one please https://t.co/YW88lM2Pl9
0	赞扬	I got my 2nd Moderna last week &amp; feel fabulous\n \n(Yes, @Defetyhw I used that word just for you 😉🤣) https://t.co/GEXFMWfSYV
3	拒绝	@aubrey_huff Them: you need the vaccine to have immunity.  It’s settled science.\nMe: doesn’t getting covid give u i… https://t.co/sgKRSp81XG
2	邀请/建议	Don't be a dick. Wear a mask. Super simple really 😷 #COVID19 #COVID19Aus #COVIDIOTS https://t.co/pmm6jYVBpi
0	陈述	I was listening to the radio yesterday and some government official involved with the distribution of the vaccine k… https://t.co/p1aJWFAfbV
0	引述	New from @EPetenko: How the state decided who should get the vaccine first\nhttps://t.co/JMERZL8M1l https://t.co/nErVTMnW3J
0	引述	Vaccinated Congressman #StephenLynch Tests Positive For #COVID-19 - #COVIDVaccine #COVID19Vaccination https://t.co/wisjEr8mUp
1	反讽	@RepDLesko @OANN I guess we better vaccinate those immigrants so they don't infect us.\nAgain, really appreciating y… https://t.co/OEWFMGALsK
0	断定	@JpJever @JonZayicek @mercedesschlapp You do know that pfizer took federal money and that pfizer used HHS and milit… https://t.co/hvCdcFW1QW
2	邀请/建议	@mikepompeo @LarryOConnor 14 days to flatten the curve... masks and distancing until a vaccine... vaccine won't wor… https://t.co/5ZLcXw2prn
0	引述	Vaccine- Prevent COVID Arm:\n\n'My doctor said to take 2000 mg of vitamin c for three days before and after the shot… https://t.co/lLr6KazAA4
0	质询	Ordinarily, I would agree, but the vaccine would kill at least half of the population. Not sure that is survivable. https://t.co/RuQAZJczB2
0	引述	Specific priority groups for COVID-19 vaccination https://t.co/V2wOw5Gm3r https://t.co/9alVcui3dE
0	引述	Britons are keen to share their vaccine supplies \n\nhttps://t.co/Z9UKWFVbpe
2	咨询	@DrTedros @WHO Where is COVAX?
0	引述	One-Third of Deaths Reported to CDC After COVID Vaccines Occurred Within 48 Hours of Vaccination • Children's Healt… https://t.co/zdTSNjN0Ov
0	断定	There won’t be any more political appetite for shutdowns or social distancing once everyone who wants a vaccine can… https://t.co/KkkZcmyYH1
0	断定	@RpsAgainstTrump Not jerks won’t wear masks. Variants will not be stopped by vaccine.
0	引述	Brazil signs COVID-19 vaccine deal with Bharat Biotech - The Hindu https://t.co/TzUEg51Tnz
0	陈述	My husband just got his second dose of the vaccine. Now he can take care of me if I get COVID.
2	邀请/建议	Hope you’ll join me &amp; Dr. Gina Ogilvie this Wednesday 6pm. We’ll be asking YOUR questions about the #COVID19 vaccin… https://t.co/cTFR0knCKB
1	感谢	Nice vaccine Rita. Thank you Janet. https://t.co/wbmaeJSay5
0	引述	Why does the Johnson &amp; Johnson vaccine require only one dose? Here's an explainer from @emilylmullin. \n\nhttps://t.co/CDjOWWkF5w
0	陈述	@hubertlepicki A friend of Zuzia (a pharmacist) also took the vaccine just one month after infection after COVID. S… https://t.co/lHdCfz8Xqu
2	咨询	What's the timeline for Novovax vaccine?\n\nTrudeau says production facility should be completed this summer- after H… https://t.co/Wj9wgeo0Ky
0	批评	@GregHuntMP made a fool of himself during this interview. He has clearly done the wrong thing by ‘branding’ this va… https://t.co/parmDdGKbx
0	引述	I have this fear that if I get COVID, I'm going to die' - San Antonio health care workers plead for vaccine… https://t.co/CjUg57gh0Z
4	other	"Under the same sky"\n\n#vaccine #COVID19 #VacunasCOVID19  #vaccinecovid19 #vaccinationCOVID19 https://t.co/EPj5r1UoTQ
